queue_rank,repro_dir,pattern_hash,kind,family,n_points,n_models,total_occurrences,old_oracle_candidates,status,owner,notes
832,amax_sum_29ef178468e0,29ef178468e0,reduction,online_softmax_cross_entropy,1,2,1,~amax_sum_0f87f6568d0f,unclaimed,,
833,amax_sum_31d85970adb2,31d85970adb2,reduction,scatter_gather,1,1,1,,unclaimed,,
834,amax_sum_35919422d9ae,35919422d9ae,reduction,reduction_softmax_like,1,1,1,,unclaimed,,
835,amax_sum_3aad2361105e,3aad2361105e,reduction,online_softmax_cross_entropy,1,1,1,amax_sum_f0661488d68c,unclaimed,,
836,amax_sum_3dd48baf16a7,3dd48baf16a7,reduction,reduction_softmax_like,1,2,1,~amax_sum_0561785713ab,unclaimed,,
837,amax_sum_48101e0b2a83,48101e0b2a83,reduction,reduction_softmax_like,1,1,1,,unclaimed,,
838,amax_sum_4a6cdb127126,4a6cdb127126,reduction,online_softmax_cross_entropy,1,2,1,~amax_sum_0f87f6568d0f,unclaimed,,
839,amax_sum_4d1a52b53ba2,4d1a52b53ba2,reduction,online_softmax_cross_entropy,1,2,1,~amax_sum_0f87f6568d0f,unclaimed,,
840,amax_sum_558e5dcf3862,558e5dcf3862,reduction,reduction_softmax_like,1,1,1,,unclaimed,,
841,amax_sum_60b6ba41c0bb,60b6ba41c0bb,reduction,reduction_softmax_like,1,1,1,,unclaimed,,
842,amax_sum_63eb58845b46,63eb58845b46,reduction,reduction_softmax_like,1,2,1,~amax_sum_0561785713ab,unclaimed,,
843,amax_sum_65b1314d871f,65b1314d871f,reduction,online_softmax_cross_entropy,1,2,1,~amax_sum_0f87f6568d0f,unclaimed,,
844,amax_sum_65bf008f632d,65bf008f632d,reduction,online_softmax_cross_entropy,1,2,1,~amax_sum_0f87f6568d0f,unclaimed,,
845,amax_sum_67baf84aae9a,67baf84aae9a,reduction,online_softmax_cross_entropy,1,2,1,~amax_sum_0f87f6568d0f,unclaimed,,
846,amax_sum_68ce17870caf,68ce17870caf,reduction,reduction_softmax_like,1,2,1,,unclaimed,,
847,amax_sum_6a53066a9204,6a53066a9204,reduction,online_softmax_cross_entropy,1,2,1,~amax_sum_0f87f6568d0f,unclaimed,,
848,amax_sum_6a531546a9ab,6a531546a9ab,reduction,reduction_softmax_like,1,1,1,,unclaimed,,
849,amax_sum_6afeef4d689d,6afeef4d689d,reduction,online_softmax_cross_entropy,1,2,1,~amax_sum_0f87f6568d0f,unclaimed,,
850,amax_sum_7079889cfc04,7079889cfc04,reduction,online_softmax_cross_entropy,1,1,1,amax_sum_3ed297ef02cd,unclaimed,,
851,amax_sum_715e3538e1e7,715e3538e1e7,reduction,reduction_softmax_like,1,2,1,~amax_sum_0561785713ab,unclaimed,,
852,amax_sum_7303c49b6018,7303c49b6018,reduction,scatter_gather,1,1,1,,unclaimed,,
853,amax_sum_79b08bfeb860,79b08bfeb860,reduction,scatter_gather,1,1,1,,unclaimed,,
854,amax_sum_7fbb1cc11dfa,7fbb1cc11dfa,reduction,reduction_softmax_like,1,1,1,,unclaimed,,
855,amax_sum_811cb87fac32,811cb87fac32,reduction,reduction_softmax_like,1,1,1,,unclaimed,,
856,amax_sum_823ba76647e9,823ba76647e9,reduction,online_softmax_cross_entropy,1,2,1,~amax_sum_0f87f6568d0f,unclaimed,,
857,amax_sum_840398faf0a0,840398faf0a0,reduction,online_softmax_cross_entropy,1,2,1,~amax_sum_0f87f6568d0f,unclaimed,,
858,amax_sum_884c406c2df8,884c406c2df8,reduction,scatter_gather,1,1,1,,unclaimed,,
859,amax_sum_8f72f9914b96,8f72f9914b96,reduction,scatter_gather,1,1,1,,unclaimed,,
860,amax_sum_90f134112275,90f134112275,reduction,reduction_softmax_like,1,1,1,,unclaimed,,
861,amax_sum_92926420c266,92926420c266,reduction,reduction_softmax_like,1,1,1,,unclaimed,,
862,amax_sum_99e031979c34,99e031979c34,reduction,scatter_gather,1,1,1,,unclaimed,,
863,amax_sum_9ebf0de28bbb,9ebf0de28bbb,reduction,reduction_softmax_like,1,1,1,,unclaimed,,
864,amax_sum_9f78a11df098,9f78a11df098,reduction,reduction_softmax_like,1,2,1,~amax_sum_0561785713ab,unclaimed,,
865,amax_sum_9fc38308ca2a,9fc38308ca2a,reduction,online_softmax_cross_entropy,1,2,1,~amax_sum_0f87f6568d0f,unclaimed,,
866,amax_sum_a133f064122a,a133f064122a,reduction,online_softmax_cross_entropy,1,2,1,~amax_sum_0f87f6568d0f,unclaimed,,
867,amax_sum_a9730a53341e,a9730a53341e,reduction,reduction_softmax_like,1,2,1,~amax_sum_0561785713ab,unclaimed,,
868,amax_sum_ab373354c411,ab373354c411,reduction,online_softmax_cross_entropy,1,2,1,~amax_sum_0f87f6568d0f,unclaimed,,
869,amax_sum_abc117528ea8,abc117528ea8,reduction,scatter_gather,1,1,1,,unclaimed,,
870,amax_sum_ac21f557e1ce,ac21f557e1ce,reduction,reduction_softmax_like,1,1,1,,unclaimed,,
871,amax_sum_ad24cfcd0e00,ad24cfcd0e00,reduction,online_softmax_cross_entropy,1,2,1,~amax_sum_0f87f6568d0f,unclaimed,,
872,amax_sum_amax_d857d0afb1ee,d857d0afb1ee,reduction,reduction_softmax_like,1,1,1,,unclaimed,,
873,amax_sum_any_1b9e85b4c3f6,1b9e85b4c3f6,reduction,unclassified_priority_gap,1,2,1,~amax_sum_any_511c5ade6e96;~any_amax_sum_0481a7940388;~any_amax_sum_148048393068,unclaimed,,
874,amax_sum_any_2bd234cc2ede,2bd234cc2ede,reduction,reduction_softmax_like,1,1,1,,unclaimed,,
875,amax_sum_any_2f67740df045,2f67740df045,reduction,reduction_softmax_like,1,1,1,,unclaimed,,
876,amax_sum_any_32ad3e5c5477,32ad3e5c5477,reduction,reduction_softmax_like,1,1,1,,unclaimed,,
877,amax_sum_any_4d975a47966c,4d975a47966c,reduction,reduction_softmax_like,1,1,1,,unclaimed,,
878,amax_sum_any_56c7a5304dc4,56c7a5304dc4,reduction,reduction_softmax_like,1,1,1,,unclaimed,,
879,amax_sum_any_6e39e64f95bc,6e39e64f95bc,reduction,reduction_softmax_like,1,1,1,,unclaimed,,
880,amax_sum_any_725f76a84d6a,725f76a84d6a,reduction,reduction_softmax_like,1,1,1,,unclaimed,,
881,amax_sum_any_836f72914974,836f72914974,reduction,reduction_softmax_like,1,1,1,,unclaimed,,
882,amax_sum_any_9471fef8c4d9,9471fef8c4d9,reduction,reduction_softmax_like,1,1,1,,unclaimed,,
883,amax_sum_any_997df2cdb45c,997df2cdb45c,reduction,reduction_softmax_like,1,1,1,,unclaimed,,
884,amax_sum_any_9a3766802a10,9a3766802a10,reduction,reduction_softmax_like,1,1,1,,unclaimed,,
885,amax_sum_any_a8ebede53f88,a8ebede53f88,reduction,reduction_softmax_like,1,1,1,,unclaimed,,
886,amax_sum_any_cd8a1b4cf13b,cd8a1b4cf13b,reduction,reduction_softmax_like,1,2,1,~amax_sum_any_027aee0fe13f,unclaimed,,
887,amax_sum_any_cdb7e77aafa5,cdb7e77aafa5,reduction,reduction_softmax_like,1,1,1,,unclaimed,,
888,amax_sum_any_cec33bc33361,cec33bc33361,reduction,reduction_softmax_like,1,1,1,,unclaimed,,
889,amax_sum_any_ee88252e6536,ee88252e6536,reduction,reduction_softmax_like,1,1,1,,unclaimed,,
890,amax_sum_any_f4223a2e8741,f4223a2e8741,reduction,reduction_softmax_like,1,1,1,,unclaimed,,
891,amax_sum_b0e9ed98229b,b0e9ed98229b,reduction,reduction_softmax_like,1,2,1,~amax_sum_0561785713ab,unclaimed,,
892,amax_sum_b4a1db9f7f57,b4a1db9f7f57,reduction,reduction_softmax_like,1,1,1,,unclaimed,,
893,amax_sum_bc3fbecd2ce0,bc3fbecd2ce0,reduction,reduction_softmax_like,1,1,1,,unclaimed,,
894,amax_sum_bdb7b585dc1d,bdb7b585dc1d,reduction,online_softmax_cross_entropy,1,2,1,~amax_sum_0f87f6568d0f,unclaimed,,
895,amax_sum_bf0fd469b53e,bf0fd469b53e,reduction,scatter_gather,1,1,1,,unclaimed,,
896,amax_sum_bf7830302e6d,bf7830302e6d,reduction,scatter_gather,1,1,1,,unclaimed,,
897,amax_sum_c30c6c7569c8,c30c6c7569c8,reduction,reduction_softmax_like,1,1,1,,unclaimed,,
898,amax_sum_c35490c8001a,c35490c8001a,reduction,online_softmax_cross_entropy,1,1,1,amax_sum_5f0c26b7e967,unclaimed,,
899,amax_sum_cb8fc73675a3,cb8fc73675a3,reduction,online_softmax_cross_entropy,1,2,1,~amax_sum_55ae6a130879,unclaimed,,
900,amax_sum_d16035e7b826,d16035e7b826,reduction,reduction_softmax_like,1,2,1,,unclaimed,,
901,amax_sum_d2cf27b00fec,d2cf27b00fec,reduction,online_softmax_cross_entropy,1,2,1,~amax_sum_0f87f6568d0f,unclaimed,,
902,amax_sum_d46ce8f9ec36,d46ce8f9ec36,reduction,online_softmax_cross_entropy,1,2,1,~amax_sum_0f87f6568d0f,unclaimed,,
903,amax_sum_d5c5da805704,d5c5da805704,reduction,online_softmax_cross_entropy,1,2,1,~amax_sum_a215204c9264,unclaimed,,
904,amax_sum_dad9c0a4a061,dad9c0a4a061,reduction,online_softmax_cross_entropy,1,2,1,~amax_sum_0f87f6568d0f,unclaimed,,
905,amax_sum_dd9960076cc0,dd9960076cc0,reduction,online_softmax_cross_entropy,1,2,1,~amax_sum_0f87f6568d0f,unclaimed,,
906,amax_sum_dde0a4d3980e,dde0a4d3980e,reduction,reduction_softmax_like,1,2,1,~amax_sum_0561785713ab,unclaimed,,
907,amax_sum_dfd25c31021c,dfd25c31021c,reduction,online_softmax_cross_entropy,1,2,1,~amax_sum_a215204c9264,unclaimed,,
908,amax_sum_e24ce795856b,e24ce795856b,reduction,scatter_gather,1,1,1,,unclaimed,,
909,amax_sum_e518e0151afa,e518e0151afa,reduction,reduction_softmax_like,1,1,1,,unclaimed,,
910,amax_sum_e52a9a054e8b,e52a9a054e8b,reduction,reduction_softmax_like,1,2,1,~amax_sum_0561785713ab,unclaimed,,
911,amax_sum_e6b6188318fa,e6b6188318fa,reduction,online_softmax_cross_entropy,1,2,1,~amax_sum_0f87f6568d0f,unclaimed,,
912,amax_sum_e776de0c82f4,e776de0c82f4,reduction,reduction_softmax_like,1,1,1,,unclaimed,,
913,amax_sum_ea6ff299f7bb,ea6ff299f7bb,reduction,reduction_softmax_like,1,2,1,~amax_sum_0561785713ab,unclaimed,,
914,amax_sum_f34bc5dfb39e,f34bc5dfb39e,reduction,reduction_softmax_like,1,2,1,~amax_sum_0561785713ab,unclaimed,,
915,amax_sum_f4dee3cf884b,f4dee3cf884b,reduction,online_softmax_cross_entropy,1,2,1,~amax_sum_0f87f6568d0f,unclaimed,,
916,amax_sum_f812d7f85634,f812d7f85634,reduction,scatter_gather,1,1,1,,unclaimed,,
917,amax_sum_f9d898b0b99c,f9d898b0b99c,reduction,online_softmax_cross_entropy,1,2,1,~amax_sum_0f87f6568d0f,unclaimed,,
918,amax_sum_sum_04ddf882ff17,04ddf882ff17,reduction,scatter_gather,1,1,1,,unclaimed,,
919,amax_sum_sum_18d38efb56db,18d38efb56db,reduction,scatter_gather,1,2,1,,unclaimed,,
920,amax_sum_sum_1bdd2568d0b8,1bdd2568d0b8,reduction,scatter_gather,1,2,1,,unclaimed,,
921,amax_sum_sum_1d3ecc85e538,1d3ecc85e538,reduction,online_softmax_cross_entropy,1,1,1,~amax_sum_sum_99c1b87be2ea,unclaimed,,
922,amax_sum_sum_2df7bcca6b5d,2df7bcca6b5d,reduction,online_softmax_cross_entropy,1,1,1,~amax_sum_sum_9e768dff4978;~amax_sum_sum_d5ddd6e16182;~amax_sum_sum_4c98004c3aa3,unclaimed,,
923,amax_sum_sum_4053b14a3062,4053b14a3062,reduction,scatter_gather,1,1,1,,unclaimed,,
924,amax_sum_sum_42988b64e7f9,42988b64e7f9,reduction,online_softmax_cross_entropy,1,2,1,~amax_sum_sum_9e768dff4978;~amax_sum_sum_4c98004c3aa3;~amax_sum_sum_6fd07d12d98a,unclaimed,,
925,amax_sum_sum_4325c394b077,4325c394b077,reduction,online_softmax_cross_entropy,1,1,1,amax_sum_sum_dc96a87ba8db,unclaimed,,
926,amax_sum_sum_52903d400fef,52903d400fef,reduction,online_softmax_cross_entropy,1,1,1,~amax_sum_sum_5818707b6489;~amax_sum_sum_6939e2db29e3,unclaimed,,
927,amax_sum_sum_5a80f2fc257a,5a80f2fc257a,reduction,online_softmax_cross_entropy,1,1,1,~amax_sum_sum_5818707b6489;~amax_sum_sum_6939e2db29e3,unclaimed,,
928,amax_sum_sum_5e142a842c9e,5e142a842c9e,reduction,online_softmax_cross_entropy,1,2,1,~amax_sum_sum_f9833ae619a1,unclaimed,,
929,amax_sum_sum_671a76fab586,671a76fab586,reduction,online_softmax_cross_entropy,1,1,1,amax_sum_sum_1bad0f362efd,unclaimed,,
930,amax_sum_sum_6aa38ad4af60,6aa38ad4af60,reduction,scatter_gather,1,1,1,amax_sum_sum_674523e70161,unclaimed,,
931,amax_sum_sum_73d95925b4b4,73d95925b4b4,reduction,scatter_gather,1,1,1,,unclaimed,,
932,amax_sum_sum_81caaa5dd022,81caaa5dd022,reduction,scatter_gather,1,1,1,,unclaimed,,
933,amax_sum_sum_82f04ea7b737,82f04ea7b737,reduction,online_softmax_cross_entropy,1,2,1,amax_sum_sum_b9ac8700504c,unclaimed,,
934,amax_sum_sum_9ff2f9544913,9ff2f9544913,reduction,scatter_gather,1,2,1,,unclaimed,,
935,amax_sum_sum_a1ef5e832cd1,a1ef5e832cd1,reduction,online_softmax_cross_entropy,1,2,1,~amax_sum_sum_d85e67b00643,unclaimed,,
936,amax_sum_sum_a4f202093213,a4f202093213,reduction,online_softmax_cross_entropy,1,1,1,~amax_sum_sum_5818707b6489,unclaimed,,
937,amax_sum_sum_a97be2219d64,a97be2219d64,reduction,online_softmax_cross_entropy,1,1,1,~amax_sum_sum_d85e67b00643,unclaimed,,
938,amax_sum_sum_bf54d8c8c94e,bf54d8c8c94e,reduction,scatter_gather,1,1,1,,unclaimed,,
939,amax_sum_sum_c38064efac4d,c38064efac4d,reduction,online_softmax_cross_entropy,1,1,1,~amax_sum_sum_846668f0b88f;~amax_sum_sum_424d7adcff6b,unclaimed,,
940,amax_sum_sum_f77445bf16f4,f77445bf16f4,reduction,scatter_gather,1,1,1,amax_sum_sum_0e37ca9164b3,unclaimed,,
941,amax_sum_sum_fb4ae0eb915f,fb4ae0eb915f,reduction,online_softmax_cross_entropy,1,2,1,~amax_sum_sum_e2f518f0a274;~amax_sum_sum_6939e2db29e3;~amax_sum_sum_86d05d6810f4,unclaimed,,
942,amax_sum_sum_fcbd22cca943,fcbd22cca943,reduction,online_softmax_cross_entropy,1,2,1,~amax_sum_sum_9e768dff4978;~amax_sum_sum_f2d78a465cb5;~amax_sum_sum_4c98004c3aa3,unclaimed,,
943,argmax_amax_sum_52310a7c5196,52310a7c5196,reduction,scatter_gather,1,2,1,,unclaimed,,
944,argmax_amax_sum_6fdd39a1aff9,6fdd39a1aff9,reduction,scatter_gather,1,1,1,,unclaimed,,
945,argmax_amax_sum_a0354c147dd8,a0354c147dd8,reduction,online_softmax_cross_entropy,1,2,1,~argmax_amax_sum_fd72c2ef2d40,unclaimed,,
946,argmax_amax_sum_ee1163128221,ee1163128221,reduction,online_softmax_cross_entropy,1,1,1,~argmax_amax_sum_fd72c2ef2d40,unclaimed,,
947,max_amax_sum_40ecfc34136c,40ecfc34136c,reduction,reduction_softmax_like,1,1,1,,unclaimed,,
948,max_amax_sum_bbcd2529e855,bbcd2529e855,reduction,reduction_softmax_like,1,1,1,,unclaimed,,
949,mean_014afd4984e6,014afd4984e6,reduction,norm_template_canonicalization,1,1,1,~mean_d5a027fb314b,unclaimed,,
950,mean_0290099050c9,0290099050c9,reduction,unclassified_priority_gap,1,1,1,mean_01c500735869;mean_fb3bbfd51007,unclaimed,,
951,mean_083e5d528a28,083e5d528a28,reduction,norm_template_canonicalization,1,2,1,~mean_ddf2440c0a00,unclaimed,,
952,mean_0c02b9c9a1c9,0c02b9c9a1c9,reduction,multi_output_reduction_templates,1,1,1,~mean_d3f53feea982;~mean_148ad2fc17ca;~mean_7b48b0105aea,unclaimed,,
953,mean_0d6166461b21,0d6166461b21,reduction,norm_template_canonicalization,1,1,1,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
954,mean_0ef8e7d245ba,0ef8e7d245ba,reduction,norm_template_canonicalization,1,1,1,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
955,mean_2a13f6e9f02f,2a13f6e9f02f,reduction,unclassified_priority_gap,1,2,1,mean_3b7ac433d31c,unclaimed,,
956,mean_3e24db3ac452,3e24db3ac452,reduction,norm_template_canonicalization,1,1,1,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
957,mean_426e2409482e,426e2409482e,reduction,unclassified_priority_gap,1,1,1,~mean_72616d93d527,unclaimed,,
958,mean_470cecc170ec,470cecc170ec,reduction,norm_template_canonicalization,1,2,1,~mean_148ad2fc17ca;~mean_7b48b0105aea;~mean_f5b5cccf92a8,unclaimed,,
959,mean_5088936e00ad,5088936e00ad,reduction,norm_template_canonicalization,1,1,1,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
960,mean_80c7c8da1d70,80c7c8da1d70,reduction,norm_template_canonicalization,1,1,1,~mean_d5a027fb314b,unclaimed,,
961,mean_80ebd99688dc,80ebd99688dc,reduction,norm_template_canonicalization,1,1,1,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
962,mean_8300da72e62a,8300da72e62a,reduction,norm_template_canonicalization,1,1,1,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
963,mean_a27c4498a84d,a27c4498a84d,reduction,norm_template_canonicalization,1,1,1,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
964,mean_aa227dd8002d,aa227dd8002d,reduction,norm_template_canonicalization,1,2,1,~mean_cf12f53df7dd;~mean_7874ce26c7f3,unclaimed,,
965,mean_b402ee209d0b,b402ee209d0b,reduction,norm_template_canonicalization,1,2,1,mean_432300e645a8,unclaimed,,
966,mean_b5152799a946,b5152799a946,reduction,norm_template_canonicalization,1,2,1,~mean_90c4736187a1,unclaimed,,
967,mean_b8f54dc7d592,b8f54dc7d592,reduction,norm_template_canonicalization,1,2,1,~mean_7874ce26c7f3,unclaimed,,
968,mean_bae5a06d2559,bae5a06d2559,reduction,norm_template_canonicalization,1,2,1,~mean_ddf2440c0a00,unclaimed,,
969,mean_c9cd9a0306c4,c9cd9a0306c4,reduction,norm_template_canonicalization,1,1,1,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
970,mean_d1274b12566d,d1274b12566d,reduction,norm_template_canonicalization,1,1,1,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
971,mean_dc61a7b3b5a3,dc61a7b3b5a3,reduction,norm_template_canonicalization,1,2,1,~mean_7639bfb9be38,unclaimed,,
972,mean_de0bb660d2cf,de0bb660d2cf,reduction,norm_template_canonicalization,1,1,1,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
973,mean_e87c2c02866f,e87c2c02866f,reduction,norm_template_canonicalization,1,1,1,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
974,mean_ecd0849414d5,ecd0849414d5,reduction,norm_template_canonicalization,1,1,1,~mean_1b78c675fe8a;~mean_9ca8b4d0ba26;~mean_b440f707e405,unclaimed,,
975,mean_ee7476ab4c8e,ee7476ab4c8e,reduction,multi_output_reduction_templates,1,2,1,mean_d3f53feea982,unclaimed,,
976,mean_f08c75b5f21f,f08c75b5f21f,reduction,unclassified_priority_gap,1,1,1,mean_d5150760404d,unclaimed,,
977,mean_f667cd8901af,f667cd8901af,reduction,unclassified_priority_gap,1,1,1,mean_86d0e8c4c31b,unclaimed,,
978,mean_mean_3084b9796c25,3084b9796c25,reduction,reduction_general,1,1,1,,unclaimed,,
979,mean_mean_83c7ae5be832,83c7ae5be832,reduction,norm_template_canonicalization,1,1,1,~mean_mean_1b98d81214e6,unclaimed,,
980,mean_mean_cdb4518308b8,cdb4518308b8,reduction,reduction_general,1,1,1,,unclaimed,,
981,mean_mean_d52678a47406,d52678a47406,reduction,reduction_general,1,1,1,,unclaimed,,
982,mean_sum_60b7c9e320b2,60b7c9e320b2,reduction,norm_template_canonicalization,1,1,1,mean_sum_e5a21319f6c6,unclaimed,,
983,mean_var_01d350472d40,01d350472d40,reduction,norm_template_canonicalization,1,2,1,~mean_var_5f74618c3485,unclaimed,,
984,mean_var_08d022b64cd6,08d022b64cd6,reduction,norm_template_canonicalization,1,2,1,~mean_var_d333e54cfcb6,unclaimed,,
985,mean_var_1d6077cd4807,1d6077cd4807,reduction,norm_template_canonicalization,1,2,1,~mean_var_5f74618c3485,unclaimed,,
986,mean_var_236af0aff0ee,236af0aff0ee,reduction,norm_template_canonicalization,1,2,1,~mean_var_5f74618c3485,unclaimed,,
987,mean_var_381b3c976327,381b3c976327,reduction,norm_template_canonicalization,1,2,1,~mean_var_d333e54cfcb6,unclaimed,,
988,mean_var_3d664201719d,3d664201719d,reduction,norm_template_canonicalization,1,2,1,~mean_var_d333e54cfcb6,unclaimed,,
989,mean_var_45b061b5354d,45b061b5354d,reduction,norm_template_canonicalization,1,2,1,~mean_var_5f74618c3485,unclaimed,,
990,mean_var_739c2d6336c7,739c2d6336c7,reduction,norm_template_canonicalization,1,2,1,~mean_var_d333e54cfcb6,unclaimed,,
991,mean_var_75f17d2ac9eb,75f17d2ac9eb,reduction,norm_template_canonicalization,1,2,1,~mean_var_2a871bf52561,unclaimed,,
992,mean_var_88dbd7034b72,88dbd7034b72,reduction,norm_template_canonicalization,1,2,1,~mean_var_5f74618c3485,unclaimed,,
993,mean_var_a2c461e99bc5,a2c461e99bc5,reduction,norm_template_canonicalization,1,2,1,~mean_var_5f74618c3485,unclaimed,,
994,mean_var_a329e1cb48ee,a329e1cb48ee,reduction,norm_template_canonicalization,1,2,1,~mean_var_d333e54cfcb6,unclaimed,,
995,mean_var_a56d64a00ced,a56d64a00ced,reduction,norm_template_canonicalization,1,2,1,~mean_var_5f74618c3485,unclaimed,,
996,mean_var_a955dfb90471,a955dfb90471,reduction,norm_template_canonicalization,1,2,1,~mean_var_e46ebb5a28fe,unclaimed,,
997,mean_var_b13fb4152fa7,b13fb4152fa7,reduction,norm_template_canonicalization,1,2,1,~mean_var_d333e54cfcb6,unclaimed,,
998,mean_var_b5db0eae552b,b5db0eae552b,reduction,norm_template_canonicalization,1,2,1,~mean_var_5f74618c3485,unclaimed,,
999,mean_var_cd39df132c99,cd39df132c99,reduction,norm_template_canonicalization,1,2,1,~mean_var_5f74618c3485,unclaimed,,
1000,mean_var_cebddda52e7b,cebddda52e7b,reduction,norm_template_canonicalization,1,2,1,~mean_var_d333e54cfcb6,unclaimed,,
1001,mean_var_d0e54075d3fd,d0e54075d3fd,reduction,norm_template_canonicalization,1,2,1,~mean_var_d333e54cfcb6,unclaimed,,
1002,mean_var_d26c4e1b56f7,d26c4e1b56f7,reduction,norm_template_canonicalization,1,2,1,~mean_var_d333e54cfcb6,unclaimed,,
1003,mean_var_e1119bc8eb34,e1119bc8eb34,reduction,norm_template_canonicalization,1,2,1,~mean_var_5f74618c3485,unclaimed,,
1004,mean_var_e4fd793207ea,e4fd793207ea,reduction,norm_template_canonicalization,1,2,1,~mean_var_d333e54cfcb6,unclaimed,,
1005,mean_var_ea8b03f394dc,ea8b03f394dc,reduction,norm_template_canonicalization,1,2,1,~mean_var_5f74618c3485,unclaimed,,
1006,mean_var_edc0f7432181,edc0f7432181,reduction,norm_template_canonicalization,1,2,1,~mean_var_d333e54cfcb6,unclaimed,,
1007,mean_var_f23a6c667865,f23a6c667865,reduction,norm_template_canonicalization,1,2,1,~mean_var_d333e54cfcb6,unclaimed,,
1008,mean_var_mean_768bb6a7efb9,768bb6a7efb9,reduction,norm_template_canonicalization,1,2,1,~mean_var_mean_3c4ea6d8f342;~mean_var_mean_cf650837b7b1,unclaimed,,
1009,mean_var_mean_bd3c73984e9d,bd3c73984e9d,reduction,norm_template_canonicalization,1,2,1,~mean_var_mean_9f6d83adf6c4;~mean_var_mean_f69b8a5457fd;~mean_var_mean_d6e91c72f94d,unclaimed,,
1010,mean_var_mean_dfa4dc2f8f9a,dfa4dc2f8f9a,reduction,norm_template_canonicalization,1,2,1,~mean_var_mean_3c4ea6d8f342;~mean_var_mean_cf650837b7b1,unclaimed,,
1011,mean_var_mean_f541715270de,f541715270de,reduction,norm_template_canonicalization,1,2,1,~mean_var_mean_d6e91c72f94d;~mean_var_mean_e6c3cd7f84ea,unclaimed,,
1012,pointwise_0057bacdbd86,0057bacdbd86,pointwise,layout_indexing_stencil_fusion,1,1,1,~pointwise_355c2d00df8b,unclaimed,,
1013,pointwise_011ff5255676,011ff5255676,pointwise,pointwise,1,1,1,,unclaimed,,
1014,pointwise_05ee034feb4c,05ee034feb4c,pointwise,pointwise,1,2,1,,unclaimed,,
1015,pointwise_08576d101b39,08576d101b39,pointwise,pointwise,1,1,1,,unclaimed,,
1016,pointwise_08d21e743dbc,08d21e743dbc,pointwise,unclassified_priority_gap,1,2,1,pointwise_0c71173959e2,unclaimed,,
1017,pointwise_0b055fee3826,0b055fee3826,pointwise,unclassified_priority_gap,1,1,1,~pointwise_8e1dc74da682;~pointwise_100a39b686e3;~pointwise_49ac8c44e9b1,unclaimed,,
1018,pointwise_10be75ce3204,10be75ce3204,pointwise,pointwise,1,1,1,,unclaimed,,
1019,pointwise_15a27d15fe72,15a27d15fe72,pointwise,pointwise,1,1,1,,unclaimed,,
1020,pointwise_1680d9313873,1680d9313873,pointwise,layout_indexing_stencil_fusion,1,1,1,pointwise_fe13a47e3f19,unclaimed,,
1021,pointwise_182cea8287c6,182cea8287c6,pointwise,pointwise,1,1,1,,unclaimed,,
1022,pointwise_18acdd25ec9e,18acdd25ec9e,pointwise,unclassified_priority_gap,1,1,1,pointwise_bcd0a32063dd,unclaimed,,
1023,pointwise_1a665e446ec5,1a665e446ec5,pointwise,pointwise,1,1,1,,unclaimed,,
1024,pointwise_1bce79493ef1,1bce79493ef1,pointwise,unclassified_priority_gap,1,1,1,pointwise_163ea081d4be,unclaimed,,
1025,pointwise_1c19f24becf5,1c19f24becf5,pointwise,pointwise,1,2,1,,unclaimed,,
1026,pointwise_1c8dca5e12e1,1c8dca5e12e1,pointwise,unclassified_priority_gap,1,2,1,~pointwise_8e1dc74da682;~pointwise_100a39b686e3;~pointwise_43877c71f0eb,unclaimed,,
1027,pointwise_1c9e61a3de47,1c9e61a3de47,pointwise,layout_indexing_stencil_fusion,1,2,1,pointwise_1f7516b9892a;pointwise_7f55bac8afd0;pointwise_d38e6d98a617,unclaimed,,
1028,pointwise_1d2c10996f53,1d2c10996f53,pointwise,layout_indexing_stencil_fusion,1,1,1,~pointwise_355c2d00df8b,unclaimed,,
1029,pointwise_1edbc54f25f6,1edbc54f25f6,pointwise,unclassified_priority_gap,1,2,1,pointwise_aa558b9321ca,unclaimed,,
1030,pointwise_1feab3394459,1feab3394459,pointwise,pointwise,1,2,1,,unclaimed,,
1031,pointwise_2017ac6d22a7,2017ac6d22a7,pointwise,unclassified_priority_gap,1,2,1,~pointwise_17542057506f;~pointwise_2babaf917a12;~pointwise_5b4d8d4d06aa,unclaimed,,
